total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index,log_total_cases,log_total_deaths,log_population_density,log_reproduction_rate,iso_code,continent,location,date,hdi_category,stringency_category,aged_65_older_category,density_category,new_deaths_log,new_cases_log
87187.0,7502.0,5307.286,6006.0,493.0,382.14300000000003,410.17699999999996,35.294000000000004,24.968000000000004,28.256,2.319,1.798,1.46,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,4.940451734368876,3.778585327862962,1.398634324538392,0.1643528557844371,BRA,South America,Brazil,1588204800000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.69284691927723,3.8751770598147037
92202.0,5015.0,5451.286,6412.0,406.0,386.85699999999997,433.77,23.593000000000004,25.646,30.166,1.91,1.82,1.44,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,4.964740341656051,3.8069935136821074,1.398634324538392,0.15836249209524964,BRA,South America,Brazil,1588291200000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.6085260335771943,3.700270937356437
97100.0,4898.0,5396.571,6761.0,349.0,386.286,456.81300000000005,23.043000000000003,25.389,31.808000000000003,1.642,1.817,1.44,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,4.987219229908005,3.8300109359361176,1.398634324538392,0.15836249209524964,BRA,South America,Brazil,1588377600000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.5428254269591797,3.6900187807886953
101826.0,4726.0,5532.286,7051.0,290.0,395.0,479.04699999999997,22.234,26.026999999999997,33.172,1.364,1.858,1.44,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.007858683843716,3.8482507146770426,1.398634324538392,0.15836249209524964,BRA,South America,Brazil,1588464000000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.462397997898956,3.6744937172963503
108620.0,6794.0,5882.0,7367.0,316.0,394.85699999999997,511.01,31.963,27.671999999999997,34.659,1.4869999999999999,1.858,1.44,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.035909798456609,3.867290669854884,1.398634324538392,0.15836249209524964,BRA,South America,Brazil,1588550400000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.499687082618404,3.8321255425340093
115455.0,6835.0,6031.429,7938.0,571.0,407.85699999999997,543.1659999999999,32.156,28.375,37.345,2.6860000000000004,1.919,1.43,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.062412745615161,3.8997110945711446,1.398634324538392,0.1553360374650618,BRA,South America,Brazil,1588636800000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.756636108245848,3.834738518903841
126611.0,11156.0,6703.714,8588.0,650.0,439.286,595.65,52.483999999999995,31.538,40.403,3.0580000000000003,2.0669999999999997,1.43,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.102471438949669,3.933892035764211,1.398634324538392,0.1553360374650618,BRA,South America,Brazil,1588723200000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.8129133566428557,4.0475085055940125
135773.0,9162.0,6940.857,9190.0,602.0,454.85699999999997,638.753,43.103,32.654,43.235,2.832,2.14,1.42,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.132813414150276,3.9633155113861114,1.398634324538392,0.15228834438305647,BRA,South America,Brazil,1588809600000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.7795964912578244,3.9619902874400648
146894.0,11121.0,7813.143,10017.0,827.0,515.0,691.073,52.318999999999996,36.757,47.126000000000005,3.891,2.423,1.41,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.1670040570556885,4.000737673774033,1.398634324538392,0.14921911265537988,BRA,South America,Brazil,1588896000000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.9175055095525466,4.0461438407492265
156061.0,9167.0,8423.0,10656.0,639.0,556.429,734.199,43.126999999999995,39.626999999999995,50.132,3.0060000000000002,2.6180000000000003,1.4,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.193294385439253,4.027594211826226,1.398634324538392,0.146128035678238,BRA,South America,Brazil,1588982400000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.8055008581584002,3.962227231350085
162699.0,6638.0,8696.143,11123.0,467.0,581.714,765.428,31.229,40.912,52.32899999999999,2.197,2.737,1.39,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.211384883632516,4.046221937221636,1.398634324538392,0.14301480025409505,BRA,South America,Brazil,1589068800000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.6693168805661123,3.822037248072585
169594.0,6895.0,8710.571,11653.0,530.0,612.286,797.8660000000001,32.438,40.979,54.821999999999996,2.4930000000000003,2.8810000000000002,1.38,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.22941048345734,4.0664377464539925,1.398634324538392,0.13987908640123647,BRA,South America,Brazil,1589155200000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.724275869600789,3.8385342705118686
178214.0,8620.0,8965.571,12461.0,808.0,646.143,838.42,40.553000000000004,42.178999999999995,58.623999999999995,3.801,3.04,1.37,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.250941818016914,4.095552896019402,1.398634324538392,0.1367205671564068,BRA,South America,Brazil,1589241600000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.907411360774586,3.9355072658247128
190137.0,11923.0,9075.143,13240.0,779.0,664.571,894.512,56.093,42.695,62.288000000000004,3.665,3.127,1.38,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.279066637287607,4.121887985103681,1.398634324538392,0.13987908640123647,BRA,South America,Brazil,1589328000000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.8915374576725643,4.076385543954533
203165.0,13028.0,9627.429,13999.0,759.0,687.0,955.803,61.291000000000004,45.293,65.859,3.571,3.2319999999999998,1.38,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.307848892509035,4.1460970135358695,1.398634324538392,0.13987908640123647,BRA,South America,Brazil,1589414400000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.88024177589548,4.114877749892836
220291.0,17126.0,10485.286,14962.0,963.0,706.429,1036.374,80.57,49.32899999999999,70.39,4.53,3.323,1.38,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.342996754390077,4.174989650407334,1.398634324538392,0.13987908640123647,BRA,South America,Brazil,1589500800000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.9836262871245345,4.233655939685764
233511.0,13220.0,11064.286,15662.0,700.0,715.143,1098.568,62.193999999999996,52.053000000000004,73.683,3.293,3.364,1.38,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.368307343689191,4.194847219631444,1.398634324538392,0.13987908640123647,BRA,South America,Brazil,1589587200000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.845098040014257,4.121231455149622
241080.0,7569.0,11197.286,16118.0,456.0,713.571,1134.177,35.609,52.678000000000004,75.828,2.145,3.3569999999999998,1.37,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.382161182795874,4.2073111514361345,1.398634324538392,0.1367205671564068,BRA,South America,Brazil,1589673600000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.6589648426644352,3.879038505237237
255368.0,14288.0,12253.428999999998,16853.0,735.0,742.857,1201.396,67.219,57.647,79.286,3.458,3.495,1.37,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.407166475174369,4.2266772207845555,1.398634324538392,0.1367205671564068,BRA,South America,Brazil,1589760000000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.8662873390841948,4.154971441544471
271885.0,16517.0,13381.571000000002,17983.0,1130.0,788.857,1279.101,77.705,62.955,84.602,5.316,3.7110000000000003,1.36,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.434385248054853,4.254862144280603,1.398634324538392,0.13353890837021754,BRA,South America,Brazil,1589846400000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,3.05307844348342,4.21793116878578
291579.0,19694.0,14491.714,18859.0,876.0,802.7139999999999,1371.753,92.652,68.17699999999999,88.723,4.121,3.7760000000000002,1.35,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.464756242168099,4.2755186605118105,1.398634324538392,0.13033376849500614,BRA,South America,Brazil,1589932800000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.9425041061680806,4.294333933583456
310087.0,18508.0,15274.571000000002,20047.0,1188.0,864.0,1458.825,87.072,71.86,94.31200000000001,5.5889999999999995,4.065,1.34,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.491483559379506,4.302049390376251,1.398634324538392,0.12710479836480765,BRA,South America,Brazil,1590019200000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,3.074816440645175,4.267359490827859
330890.0,20803.0,15799.857,21048.0,1001.0,869.429,1556.694,97.869,74.331,99.022,4.709,4.09,1.33,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.519683642317171,4.323210835077647,1.398634324538392,0.12385164096708583,BRA,South America,Brazil,1590105600000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,3.000434077479319,4.318125969073185
347398.0,16508.0,16269.571000000002,22013.0,965.0,907.2860000000001,1634.3570000000002,77.663,76.541,103.56200000000001,4.54,4.268,1.32,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.540827313847798,4.342679233587477,1.398634324538392,0.1205739312058499,BRA,South America,Brazil,1590192000000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.9845273133437926,4.2176944602053785
363211.0,15813.0,17447.286,22666.0,653.0,935.429,1708.751,74.393,82.08200000000001,106.634,3.072,4.401,1.31,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.560158992841778,4.355374884431612,1.398634324538392,0.11727129565576427,BRA,South America,Brazil,1590278400000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.814913181275074,4.19901427093462
374898.0,11687.0,17075.714,23473.0,807.0,945.7139999999999,1763.733,54.982,80.334,110.43,3.7969999999999997,4.449,1.3,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.573913123560306,4.3705685987670515,1.398634324538392,0.11394335230683678,BRA,South America,Brazil,1590364800000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.90687353472207,4.067703044040066
391222.0,16324.0,17048.143,24512.0,1039.0,932.7139999999999,1840.53,76.797,80.204,115.318,4.888,4.388,1.29,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.5924232689426425,4.3893787479525095,1.398634324538392,0.11058971029924897,BRA,South America,Brazil,1590451200000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,3.016615547557177,4.212826586101233
411821.0,20599.0,17177.429,25598.0,1086.0,962.7139999999999,1937.44,96.90899999999999,80.812,120.428,5.109,4.529,1.28,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.614708488837581,4.4082060347300205,1.398634324538392,0.10720996964786837,BRA,South America,Brazil,1590537600000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,3.035829825252828,4.313846137601028
438238.0,26417.0,18307.286,26754.0,1156.0,958.143,2061.72,124.281,86.12799999999999,125.866,5.438,4.508,1.29,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.641710032911561,4.427388722733251,1.398634324538392,0.11058971029924897,BRA,South America,Brazil,1590624000000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,3.0629578340845103,4.421883496192106
465166.0,26928.0,19182.286,27878.0,1124.0,975.7139999999999,2188.405,126.685,90.244,131.154,5.287999999999999,4.59,1.28,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.667607963683213,4.445261613754528,1.398634324538392,0.10720996964786837,BRA,South America,Brazil,1590710400000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,3.0507663112330423,4.430204098631749
498440.0,33274.0,21577.429,28834.0,956.0,974.429,2344.944,156.54,101.512,135.651,4.498,4.584,1.28,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.697612887347364,4.459904894119978,1.398634324538392,0.10720996964786837,BRA,South America,Brazil,1590796800000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.9804578922761,4.522105012275702
514849.0,16409.0,21662.571,29314.0,480.0,949.7139999999999,2422.1420000000003,77.197,101.913,137.91,2.258,4.468,1.26,81.02,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.711679873541041,4.467075083515207,1.398634324538392,0.10037054511756291,BRA,South America,Brazil,1590883200000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.681241237375587,4.215082115013175
526447.0,11598.0,21649.857000000004,29937.0,623.0,923.429,2476.705,54.56399999999999,101.853,140.841,2.931,4.343999999999999,1.24,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.721354655167945,4.476208277345551,1.398634324538392,0.09342168516223506,BRA,South America,Brazil,1590969600000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.7944880466591697,4.0643831044121965
555383.0,28936.0,23451.571,31199.0,1262.0,955.2860000000001,2612.837,136.131,110.329,146.778,5.937,4.494,1.23,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.744592582077569,4.494140674100433,1.398634324538392,0.08990511143939793,BRA,South America,Brazil,1591056000000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,3.1010593549081156,4.461438495753563
584016.0,28633.0,24599.286,32548.0,1349.0,992.857,2747.542,134.70600000000002,115.729,153.124,6.346,4.671,1.22,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.766424745428366,4.512524307323576,1.398634324538392,0.08635983067474821,BRA,South America,Brazil,1591142400000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,3.1300119496719043,4.456866853267461
614941.0,30925.0,25243.286,34021.0,1473.0,1038.143,2893.031,145.489,118.759,160.054,6.93,4.8839999999999995,1.21,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.788833449753303,4.5317470749467175,1.398634324538392,0.08278537031645007,BRA,South America,Brazil,1591228800000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,3.168202746842631,4.490309708301158
645771.0,30830.0,25800.714,35026.0,1005.0,1021.143,3038.073,145.042,121.381,164.782,4.728,4.803999999999999,1.2,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.810078538013497,4.544390543337748,1.398634324538392,0.07918124604762482,BRA,South America,Brazil,1591315200000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,3.002166061756508,4.488973524726508
672846.0,27075.0,24915.142999999996,35930.0,904.0,1013.7139999999999,3165.449,127.376,117.215,169.035,4.253,4.769,1.18,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.827915674917169,4.5554572172046495,1.398634324538392,0.07188200730612536,BRA,South America,Brazil,1591401600000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.9561684304753633,4.432568465297358
691758.0,18912.0,25272.714,36455.0,525.0,1020.143,3254.422,88.973,118.897,171.505,2.47,4.7989999999999995,1.17,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.839954190343911,4.561757102571363,1.398634324538392,0.06818586174616162,BRA,South America,Brazil,1591488000000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.720159303405957,4.276737459201161
707412.0,15654.0,25852.142999999996,37134.0,679.0,1028.143,3328.067,73.645,121.62299999999999,174.699,3.194,4.837,1.16,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.849672422583031,4.569771733076458,1.398634324538392,0.06445798922691845,BRA,South America,Brazil,1591574400000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.8318697742805017,4.1946253294838645
739503.0,32091.0,26302.857000000004,38406.0,1272.0,1029.5710000000001,3479.0409999999997,150.974,123.744,180.68400000000003,5.984,4.843999999999999,1.15,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.868939940173077,4.584399077579434,1.398634324538392,0.06069784035361165,BRA,South America,Brazil,1591660800000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,3.104487111312395,4.506383250523838
772416.0,32913.0,26914.286,39680.0,1274.0,1018.857,3633.883,154.841,126.62,186.67700000000002,5.994,4.793,1.14,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.887851261274811,4.598571663482141,1.398634324538392,0.05690485133647255,BRA,South America,Brazil,1591747200000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,3.1051694279993316,4.517367469777369
802828.0,30412.0,26841.0,40919.0,1239.0,985.429,3776.958,143.075,126.275,192.50599999999997,5.829,4.636,1.13,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.904622510842648,4.6119250116533035,1.398634324538392,0.05307844348341968,BRA,South America,Brazil,1591833600000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,3.0930713063760633,4.483044981814716
828810.0,25982.0,26148.429,41828.0,909.0,971.7139999999999,3899.192,122.234,123.01700000000001,196.783,4.276,4.571000000000001,1.12,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.918454982409144,4.621467099346845,1.398634324538392,0.04921802267018165,BRA,South America,Brazil,1591920000000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.9585638832219674,4.414672578435721
850514.0,21704.0,25381.142999999996,42720.0,892.0,970.0,4001.3,102.10799999999999,119.40700000000001,200.979,4.196000000000001,4.563,1.12,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.92968146677011,4.6306312440205,1.398634324538392,0.04921802267018165,BRA,South America,Brazil,1592006400000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.950364854376123,4.336539780753539
867624.0,17110.0,25123.714,43332.0,612.0,982.429,4081.795,80.495,118.196,203.858,2.8789999999999996,4.622,1.13,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.9383315568546085,4.636808734474451,1.398634324538392,0.05307844348341968,BRA,South America,Brazil,1592092800000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.7867514221455614,4.2332500095411
888271.0,20647.0,25837.0,43959.0,627.0,975.0,4178.931,97.135,121.552,206.808,2.95,4.587,1.13,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.948545483626957,4.643047804328758,1.398634324538392,0.05307844348341968,BRA,South America,Brazil,1592179200000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.7972675408307164,4.314856957779571
923189.0,34918.0,26240.857000000004,45241.0,1282.0,976.429,4343.205,164.274,123.45200000000001,212.83900000000003,6.031000000000001,4.593999999999999,1.14,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,5.965290621128205,4.65553219593693,1.398634324538392,0.05690485133647255,BRA,South America,Brazil,1592265600000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,3.1078880251827985,4.543049360639533
